File.Name	Initials	Date	Well.Name	Well.Number	Biological.Replicate	Technical.Replicate	Background	Knockout	Overexpression	Temp	pH	Media	NaCl.Concentration	MgSO4.Concentration	KCl.Concentration	Arg.Concentration	Pyruvate.Concentration	Asp.Concentration	Glycerol.Concentration
ResultsKB201101271.csv	KB	201101271	CM3_ura3_4.2	168	4	2	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_ura3_4.3	169	4	3	Dura3	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_1.1	172	1	1	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_1.2	173	1	2	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_1.3	174	1	3	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_2.1	175	2	1	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_2.2	176	2	2	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM3_NRC1_2.3	177	2	3	NRC1	NA	NA	37	NA	CM	4.96	0.08	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_1.1	178	1	1	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_1.2	179	1	2	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_1.3	182	1	3	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_2.1	183	2	1	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_2.2	184	2	2	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_2.3	185	2	3	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_3.1	186	3	1	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_3.2	187	3	2	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_3.3	188	3	3	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_4.1	189	4	1	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_4.2	212	4	2	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_ura3_4.3	213	4	3	Dura3	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_1.1	214	1	1	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_1.2	215	1	2	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_1.3	216	1	3	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_2.1	217	2	1	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_2.2	218	2	2	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM4_NRC1_2.3	219	2	3	NRC1	NA	NA	37	NA	CM	4.28	0.2	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_1.1	222	1	1	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_1.2	223	1	2	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_1.3	224	1	3	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_2.1	225	2	1	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_2.2	226	2	2	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_2.3	227	2	3	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_3.1	228	3	1	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_3.2	229	3	2	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_3.3	232	3	3	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_4.1	233	4	1	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_4.2	234	4	2	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_ura3_4.3	235	4	3	Dura3	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
